date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,lag_4_high_low_diff,lag_4_open_close_diff,lag_4_volume,lag_4_adj_close,lag_5_high_low_diff,lag_5_open_close_diff,lag_5_volume,lag_5_adj_close,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2022-01-03,2022,1,3,1,0,0,13.835,1122,0.25,0.18,467600.0,3.88,0.25,0.18,337100.0,4.07,0.373,0.19,-0.018,0.34,612340.0,157650.113,3.764,0.245,1.75,-0.595,-0.385,-0.122,-1.622,0.523,-0.3,0.817,1.519,-0.895,0.203,0.09,1.454,-1.038,-0.139,-0.752
2022-01-04,2022,1,4,1,0,0,-1.966,1123,0.35,0.26,626600.0,3.58,0.25,0.18,467600.0,3.88,0.409,0.178,-0.038,0.329,590660.0,187212.654,3.802,0.28,0.117,1.671,-0.84,-0.615,0.359,-1.619,0.603,-0.25,-1.236,1.395,-0.638,0.287,0.959,1.137,-1.044,-0.258
2022-01-05,2022,1,5,1,0,0,-9.29,1124,0.3,-0.12,644400.0,3.73,0.35,0.26,626600.0,3.58,0.438,0.177,-0.022,0.348,577960.0,186316.754,3.818,0.266,0.316,-0.045,1.511,-1.004,1.04,0.293,-1.575,0.523,-0.08,-1.174,1.47,-0.572,-0.595,0.949,1.137,-1.159
2022-01-06,2022,1,6,1,0,0,-1.381,1125,0.26,0.16,471300.0,3.51,0.3,-0.12,644400.0,3.73,0.427,0.189,0.012,0.344,543320.0,186975.605,3.796,0.279,-0.961,0.354,0.016,1.474,0.11,0.953,0.197,-1.69,-0.386,0.106,-0.985,1.65,-0.631,-0.487,0.982,1.161
2022-01-07,2022,1,7,1,0,0,1.108,1126,0.706,-0.57,851800.0,4.12,0.26,0.16,471300.0,3.51,0.431,0.185,-0.028,0.334,489340.0,243409.486,3.816,0.256,-0.816,-1.005,0.34,-0.005,-0.036,0.233,1.101,0.323,-1.183,-0.075,0.303,-0.535,-0.805,-0.766,-0.609,0.992
2022-01-10,2022,1,10,1,0,0,-2.299,1127,0.43,0.08,359200.0,4.07,0.706,-0.57,851800.0,4.12,0.336,0.119,0.102,0.142,395940.0,135024.324,3.688,0.224,-0.891,-0.47,-0.764,1.332,-0.155,-1.001,-0.367,1.678,-0.083,-1.441,0.557,1.238,-0.929,-0.348,-0.304,-0.125
2022-01-11,2022,1,11,1,0,0,3.641,1128,0.494,0.34,563100.0,3.66,0.43,0.08,359200.0,4.07,0.298,0.111,0.06,0.177,378140.0,146460.568,3.588,0.068,-0.519,-0.609,-0.16,-0.474,-1.075,0.113,-0.566,-0.057,-0.737,0.045,-1.207,0.635,-0.263,-1.58,0.322,0.468
2022-01-12,2022,1,12,1,0,0,-4.913,1129,0.245,0.05,471200.0,3.62,0.494,0.34,563100.0,3.66,0.263,0.037,0.026,0.115,316280.0,109452.876,3.548,0.074,1.54,-0.621,-0.892,0.459,1.252,-1.356,0.469,-0.574,-0.571,-0.421,0.626,-1.05,-1.19,0.297,-0.919,0.838
2022-01-13,2022,1,13,1,0,0,-8.176,1130,0.28,-0.04,201400.0,3.61,0.245,0.05,471200.0,3.62,0.285,0.053,0.068,0.157,388800.0,257609.55,3.46,0.168,1.323,0.661,-0.85,-1.039,1.225,0.651,-1.263,0.077,1.727,-0.524,-0.46,-0.016,-1.663,0.0,0.653,0.119
2022-01-14,2022,1,14,1,0,0,0.926,1131,0.23,0.08,384800.0,3.48,0.28,-0.04,201400.0,3.61,0.269,0.066,0.07,0.155,403840.0,245860.627,3.386,0.167,-1.07,1.31,0.779,-0.434,-0.645,1.225,0.645,-1.29,-0.518,1.749,-0.61,-0.544,-0.873,-1.232,0.442,1.1
