date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2018-02-05,2018,2,5,1,0,0,-1.453,1914,0.754,0.016,0.251,0.116,61833000.0,5778589.339,22.803,0.546,0.637,0.515,-1.153,-1.275,0.62,0.534,-1.154,-6.061,0.888,-1.083,0.196,5.43,-1.088,0.208,0.879,1.497
2018-02-06,2018,2,6,1,0,0,2.623,1915,0.792,0.049,0.017,0.521,66286500.0,10393452.157,22.463,0.394,1.154,-0.557,-0.598,-1.159,-1.155,0.587,0.568,0.191,0.966,0.065,-1.031,-0.32,-0.505,-0.647,1.152,2.083
2018-02-07,2018,2,7,1,0,0,1.742,1916,0.767,0.079,-0.221,0.479,82608500.0,19560181.307,22.491,0.442,-0.983,1.016,-0.034,-0.059,-0.375,-0.758,1.133,1.113,1.121,-0.321,-0.8,-1.382,1.152,-0.513,-0.64,0.964
2018-02-08,2018,2,8,1,0,0,-8.908,1917,1.268,0.869,0.296,1.368,111861000.0,39706238.288,22.093,1.003,1.15,-0.666,-0.484,-0.58,1.152,-0.509,-0.643,0.02,1.079,-0.184,-0.895,-1.131,-1.074,0.904,0.171,0.115
2018-02-09,2018,2,9,1,0,0,-3.064,1918,1.568,0.805,0.702,1.138,151087500.0,44844166.101,21.57,1.249,0.223,0.87,-1.093,-0.896,-0.06,1.028,-0.969,-1.13,0.957,0.081,-1.038,-1.667,-0.701,-0.444,1.145,0.556
2018-02-12,2018,2,12,1,0,0,-0.127,1919,1.602,0.75,0.844,0.94,147380500.0,50694198.581,20.92,0.195,-1.083,0.195,0.888,-1.216,-0.869,-0.224,1.093,-1.324,-1.064,0.92,0.145,-0.845,0.661,-1.15,0.49,10.643
2018-02-13,2018,2,13,1,0,0,2.669,1920,1.105,0.557,0.028,0.605,118608500.0,66482747.805,21.107,0.444,-0.586,-0.568,1.155,2.089,-0.999,-0.003,1.001,3.048,-0.755,-0.379,1.134,0.543,1.059,-0.131,-0.928,-0.206
2018-02-14,2018,2,14,1,0,0,0.456,1921,0.692,0.158,-0.216,0.318,73693500.0,17682156.705,21.371,0.283,-1.154,0.545,0.609,6.677,0.37,-1.132,0.762,2.671,-0.816,-0.299,1.115,6.804,0.411,0.729,-1.14,-2.392
2018-02-15,2018,2,15,1,0,0,2.865,1922,0.69,0.156,-0.437,0.296,72119000.0,15064257.839,21.779,0.429,0.586,-1.155,0.569,0.633,-0.679,1.148,-0.469,1.57,1.1,-0.854,-0.247,1.414,1.148,-0.679,-0.469,-1.702
2018-02-16,2018,2,16,1,0,0,0.891,1923,0.686,0.152,-0.312,0.287,77531000.0,15952056.928,22.042,0.482,0.524,0.629,-1.153,0.612,0.392,-1.137,0.745,-0.921,0.446,0.7,-1.145,-0.572,0.673,0.476,-1.149,-0.963
