date,open,high,low,adj_close,volume,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns,returns_prc
1981-08-03,0.111607,0.111607,0.110491,0.085978,12432000,1981,8,3,3,0,0,-0.025629,-29.808788294680035
1981-08-04,0.112165,0.112723,0.112165,0.087281,31673600,1981,8,4,3,0,0,-0.024884000000000003,-28.5102141359517
1981-08-05,0.115513,0.116071,0.115513,0.089886,17494400,1981,8,5,3,0,0,-0.02562700000000001,-28.510557817680187
1981-08-06,0.113281,0.113281,0.112723,0.087715,10528000,1981,8,6,3,0,0,-0.025566000000000005,-29.146668186741152
1981-08-07,0.112723,0.113281,0.112723,0.087715,9206400,1981,8,7,3,0,0,-0.025008000000000002,-28.510517015333754
1981-08-10,0.112723,0.112723,0.112723,0.087715,0,1981,8,10,3,0,0,-0.025008000000000002,-28.510517015333754
1981-08-11,0.110491,0.110491,0.109375,0.08511,71456000,1981,8,11,3,0,0,-0.025381,-29.82140759017742
1981-08-12,0.107701,0.107701,0.107143,0.083373,26275200,1981,8,12,3,0,0,-0.024328000000000002,-29.17971045782208
1981-08-13,0.104353,0.104353,0.103795,0.080768,27484800,1981,8,13,3,0,0,-0.023584999999999995,-29.200921156893813
1981-08-14,0.103237,0.103237,0.102121,0.079465,24192000,1981,8,14,3,0,0,-0.023772,-29.915056943308375
1981-08-17,0.099888,0.099888,0.098772,0.076859,18905600,1981,8,17,3,0,0,-0.023029000000000008,-29.96265889485943
1981-08-18,0.097656,0.097656,0.09654,0.075122,17001600,1981,8,18,3,0,0,-0.022534000000000012,-29.996538963286408
1981-08-19,0.09654,0.09654,0.095424,0.074254,20675200,1981,8,19,3,0,0,-0.022286,-30.0131979421984
1981-08-20,0.09654,0.097098,0.09654,0.075122,17113600,1981,8,20,3,0,0,-0.021418000000000006,-28.51095551236656
1981-08-21,0.09096,0.09096,0.089844,0.069912,41910400,1981,8,21,3,0,0,-0.021047999999999997,-30.106419498798488
1981-08-24,0.084821,0.084821,0.084263,0.065569,23072000,1981,8,24,3,0,0,-0.01925199999999999,-29.36143604447222
1981-08-25,0.086496,0.087054,0.086496,0.067307,40700800,1981,8,25,3,0,0,-0.019188999999999998,-28.50966467083661
1981-08-26,0.085379,0.085379,0.084821,0.066003,33600000,1981,8,26,3,0,0,-0.01937599999999999,-29.356241382967426
1981-08-27,0.085379,0.085938,0.085379,0.066438,25916800,1981,8,27,3,0,0,-0.018941,-28.50928685390891
1981-08-28,0.089844,0.090402,0.089844,0.069912,38035200,1981,8,28,3,0,0,-0.01993199999999999,-28.510127016821134
1981-08-31,0.089844,0.090402,0.089844,0.069912,40947200,1981,8,31,3,0,1,-0.01993199999999999,-28.510127016821134
1981-09-01,0.095424,0.095982,0.095424,0.074254,37027200,1981,9,1,3,1,0,-0.021169999999999994,-28.51024860613569
1981-09-02,0.097098,0.097656,0.097098,0.075557,19376000,1981,9,2,3,0,0,-0.021541000000000005,-28.509602022314283
1981-09-03,0.093192,0.093192,0.092076,0.071649,37475200,1981,9,3,3,0,0,-0.021542999999999993,-30.067411966670843
1981-09-04,0.091518,0.091518,0.09096,0.07078,15254400,1981,9,4,3,0,0,-0.020738000000000006,-29.299237072619395
1981-09-08,0.088728,0.088728,0.08817,0.068609,25446400,1981,9,8,3,0,0,-0.020118999999999998,-29.324141147662843
1981-09-09,0.08817,0.088728,0.08817,0.068609,30531200,1981,9,9,3,0,0,-0.019560999999999995,-28.510836770686055
1981-09-10,0.088728,0.089286,0.088728,0.069044,34809600,1981,9,10,3,0,0,-0.019684000000000007,-28.5093563524709
1981-09-11,0.08817,0.08817,0.087612,0.068175,17539200,1981,9,11,3,0,0,-0.019995,-29.328932893289327
